product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,DECIMAL(10.4),DECIMAL(10.4),DECIMAL(10.4)
337,371,6280,0,2,1.5,0.51,2
1512,371,6280,0,2,1.62,0.6318,3
963,371,4018,0,2,2.4,0.72,1
181,371,4018,0,2,2.79,1.0323,3
1383,371,4018,0,2,5.18,2.1756,2
1306,371,4018,0,2,7.41,2.7417,3
1196,371,1418,0,2,5.84,1.9856,2
360,371,1418,0,2,2.62,1.048,2
1242,371,1418,0,2,3.96,1.7028,2
154,371,1418,0,2,1.96,0.7252,1
483,371,4382,0,2,3.88,1.7072,2
77,371,1293,0,2,5.6,2.8,2
533,371,1293,0,2,4.84,2.3232,2
310,371,1293,0,2,0.76,0.342,1
1392,371,1293,0,2,0.83,0.3735,1
1303,394,9305,0,2,1.36,0.4352,2
748,394,9305,0,2,4.4,1.936,2
1270,394,9305,0,2,2.69,1.0491,1
311,394,5649,0,2,6.45,2.3865,3
194,394,5649,0,2,3.36,1.512,1
544,394,5649,0,2,2.95,1.0325,1
610,394,6319,0,2,2.27,0.7491,1
854,394,6319,0,2,1.6,0.688,1
538,394,6319,0,2,1.86,0.744,2
72,394,1771,0,2,5.48,2.0824,2
182,394,1771,0,2,1.84,0.736,1
265,394,1771,0,2,3.61,1.3718,1
15,394,1771,0,2,4.58,1.603,2
764,394,1771,0,2,7.62,2.667,2
335,394,3211,0,2,3.74,1.2716,1
924,394,3211,0,2,2.7,0.891,1
302,394,3211,0,2,3.45,1.3455,1
1024,394,3211,0,2,7.9,3.555,2
2,394,3211,0,2,0.74,0.296,1
1211,376,4217,0,2,7.58,2.3498,2
1055,376,4217,0,2,3.24,1.1988,2
379,376,4217,0,2,7.7,3.696,2
1017,376,4772,0,2,5.78,2.601,2
1221,376,4772,0,2,2.98,1.1324,2
1437,376,4772,0,2,3.48,1.566,2
375,376,4772,0,2,4.58,2.1068,2
1177,376,4772,0,2,1.54,0.7546,1
1155,376,4772,0,2,3.76,1.6544,2
79,376,4772,0,2,1.32,0.5544,1
212,376,4787,0,2,3.32,1.5272,2
934,376,4787,0,2,1.1,0.44,1
1471,376,4787,0,2,1.55,0.651,1
275,376,4787,0,2,6.54,2.0274,2
809,376,2508,0,2,2.44,0.8784,2
1091,376,2508,0,2,7.12,3.4888,2
243,376,2508,0,2,2.11,0.7385,1
1231,376,2508,0,2,3.71,1.3356,1
56,376,1493,0,2,0.71,0.2982,1
965,376,1493,0,2,3.06,1.1934,2
209,376,1493,0,2,1.87,0.7667,1
1331,376,1493,0,2,2.74,1.0686,1
255,376,1493,0,2,0.64,0.2304,1
366,376,1493,0,2,4.72,1.6992,2
842,395,8178,108,2,6.4,2.112,2
1364,395,8178,108,2,3.2,1.568,2
942,395,8178,108,2,4.68,1.8252,2
1064,395,8178,108,2,1.08,0.324,2
282,395,8178,108,2,0.93,0.3999,1
1485,395,8178,108,2,3,1.08,2
542,395,7525,108,2,1.51,0.4681,1
1118,395,7525,108,2,2.93,1.2306,1
948,395,7525,108,2,8.88,2.9304,3
632,395,7525,108,2,0.83,0.2739,1
22,395,7525,108,2,6.87,3.0915,3
293,395,7525,108,2,1.6,0.528,1
309,395,7525,108,2,3.62,1.2308,1
86,395,3628,108,2,5.94,2.079,2
490,395,3628,108,2,1.65,0.825,1
107,395,3628,108,2,3.62,1.1222,2
1255,395,3628,108,2,1.24,0.496,1
513,395,3628,108,2,1.16,0.4176,2
879,395,3182,108,2,2.22,0.7548,2
1228,395,3182,108,2,4.38,1.9272,2
180,395,3182,108,2,1.38,0.6486,2
623,395,3182,108,2,3.6,1.368,2
1265,395,3182,108,2,1.44,0.5904,2
340,395,8878,108,2,0.63,0.2079,1
556,395,8878,108,2,6.5,2.73,2
443,395,5164,108,2,2.66,1.197,2
221,395,5164,108,2,7.32,2.4888,2
1302,395,5164,108,2,3.7,1.739,2
759,395,5164,108,2,3.78,1.1718,2
830,395,5164,108,2,2.45,0.9555,1
1446,395,5164,108,2,1.26,0.5418,1
743,395,5164,108,2,1.92,0.7872,2
826,374,8854,0,2,1.83,0.6954,1
1003,374,8854,0,2,1.56,0.702,2
886,374,8854,0,2,3.11,1.3684,1
726,374,599,0,2,6.42,2.3112,2
1302,374,599,0,2,1.85,0.703,1
1545,374,599,0,2,2.29,0.8473,1
281,374,9617,0,2,2.63,0.8942,1
763,374,9617,0,2,2.55,1.173,1
327,374,2741,0,2,1.2,0.456,2
942,374,2741,0,2,2.34,0.7722,1
653,374,2741,0,2,8.34,2.5854,3
377,374,2741,0,2,6.3,2.583,3
959,374,1627,0,2,3,1.26,2
603,374,1627,0,2,2.46,1.1808,2
623,374,1627,0,2,3.6,1.188,2
1449,374,4863,0,2,2.61,0.8352,3
1493,374,4863,0,2,11.88,4.0392,3
218,374,4863,0,2,3.44,1.5824,1
927,374,4863,0,2,1.89,0.8127,3
277,404,4600,0,2,4.82,1.687,2
28,404,4600,0,2,3.91,1.3685,1
777,404,4600,0,2,3.72,1.5252,1
88,404,4600,0,2,0.86,0.4214,1
1003,404,10198,0,2,1.56,0.5148,2
1380,404,10198,0,2,10.86,4.2354,3
78,404,6403,0,2,4.38,1.4892,2
627,404,6403,0,2,3.4,1.496,2
444,404,8177,0,2,2.59,1.0878,1
1087,404,8177,0,2,3.32,1.4276,2
1130,404,8177,0,2,1.55,0.6045,1
1413,404,8177,0,2,6.76,2.366,2
151,404,8177,0,2,2.91,1.3386,1
1553,404,8177,0,2,1.86,0.7254,1
877,404,8177,0,2,3.16,1.2008,2
42,404,5649,0,2,5.64,2.5944,2
1123,404,5649,0,2,3.92,1.7248,2
1095,401,1627,0,2,1.58,0.6794,1
712,401,1627,0,2,7.74,2.8638,2
302,401,1627,0,2,6.9,2.691,2
1118,401,1627,0,2,5.86,2.8128,2
1101,401,4772,0,2,2.62,1.048,1
279,401,4772,0,2,2.82,1.3818,1
42,401,4772,0,2,5.64,2.256,2
1135,401,2180,0,2,3.92,1.2936,2
180,401,2180,0,2,2.07,1.0143,3
741,401,8147,0,2,1.46,0.5402,2
1361,401,7053,0,2,3.62,1.4118,2
1471,401,7053,0,2,3.1,1.457,2
1555,401,7053,0,2,5.9,2.832,2
1305,401,7053,0,2,0.57,0.2052,1
213,420,8983,0,2,0.56,0.2352,1
1028,420,8983,0,2,4.48,1.3888,2
619,420,1333,0,2,6.75,2.0925,3
955,420,1333,0,2,11.49,4.596,3
772,420,1333,0,2,5.82,2.8518,3
1322,420,1333,0,2,6.4,2.56,2
818,420,1333,0,2,1.35,0.6075,1
1501,420,1333,0,2,7.56,2.8728,3
1082,420,5188,0,2,3.82,1.6044,2
1098,420,5188,0,2,4.17,1.8348,3
1048,420,5188,0,2,6.63,2.0553,3
1198,420,5188,0,2,6.86,2.2638,2
749,420,5188,0,2,8.01,4.005,3
953,420,5188,0,2,8.22,3.9456,3
1182,420,2965,0,2,1.4,0.686,1
