time_id, year_id
STRING,INTEGER
2003-01-06,2003
2003-01-06,2003
2003-01-06,2003
2003-01-06,2003
2003-01-09,2003
2003-01-09,2003
2003-01-09,2003
2003-01-09,2003
2003-01-10,2003
2003-01-10,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-29,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-01-31,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-11,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-17,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-02-24,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-03,2003
2003-03-10,2003
2003-03-10,2003
2003-03-10,2003
2003-03-10,2003
2003-03-10,2003
2003-03-10,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-18,2003
2003-03-25,2003
2003-03-25,2003
2003-03-25,2003
2003-03-25,2003
2003-03-25,2003
2003-03-25,2003
2003-03-24,2003
2003-03-24,2003
2003-03-26,2003
2003-03-26,2003
2003-03-26,2003
2003-03-26,2003
2003-04-01,2003
2003-04-01,2003
