TIME_ID,MONTH_ID,QTR_ID,YEAR_ID,MONTH_NAME,MONTH_DESC,QTR_NAME,QTR_DESC
VARCHAR,INTEGER,INTEGER,INTEGER,VARCHAR,VARCHAR,VARCHAR,VARCHAR
2003-01-06,1,1,2003,Jan,January,QTR1,Quarter 1
2003-01-09,1,1,2003,Jan,January,QTR1,Quarter 1
2003-01-10,1,1,2003,Jan,January,QTR1,Quarter 1
2003-01-29,1,1,2003,Jan,January,QTR1,Quarter 1
2003-01-31,1,1,2003,Jan,January,QTR1,Quarter 1
2003-02-11,2,1,2003,Feb,February,QTR1,Quarter 1
2003-02-17,2,1,2003,Feb,February,QTR1,Quarter 1
2003-02-24,2,1,2003,Feb,February,QTR1,Quarter 1
2003-03-03,3,1,2003,Mar,March,QTR1,Quarter 1
2003-03-10,3,1,2003,Mar,March,QTR1,Quarter 1
2003-03-18,3,1,2003,Mar,March,QTR1,Quarter 1
2003-03-24,3,1,2003,Mar,March,QTR1,Quarter 1
2003-03-25,3,1,2003,Mar,March,QTR1,Quarter 1
2003-03-26,3,1,2003,Mar,March,QTR1,Quarter 1
2003-04-01,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-04,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-11,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-16,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-21,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-28,4,2,2003,Apr,April,QTR2,Quarter 2
2003-04-29,4,2,2003,Apr,April,QTR2,Quarter 2
2003-05-07,5,2,2003,May,May,QTR2,Quarter 2
2003-05-08,5,2,2003,May,May,QTR2,Quarter 2
2003-05-20,5,2,2003,May,May,QTR2,Quarter 2
2003-05-21,5,2,2003,May,May,QTR2,Quarter 2
2003-05-28,5,2,2003,May,May,QTR2,Quarter 2
2003-06-03,6,2,2003,Jun,June,QTR2,Quarter 2
2003-06-06,6,2,2003,Jun,June,QTR2,Quarter 2
2003-06-12,6,2,2003,Jun,June,QTR2,Quarter 2
2003-06-16,6,2,2003,Jun,June,QTR2,Quarter 2
2003-06-25,6,2,2003,Jun,June,QTR2,Quarter 2
2003-06-27,6,2,2003,Jun,June,QTR2,Quarter 2
2003-07-01,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-02,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-04,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-07,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-10,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-16,7,3,2003,Jul,July,QTR3,Quarter 3
2003-07-24,7,3,2003,Jul,July,QTR3,Quarter 3
2003-08-01,8,3,2003,Aug,August,QTR3,Quarter 3
2003-08-08,8,3,2003,Aug,August,QTR3,Quarter 3
2003-08-10,8,3,2003,Aug,August,QTR3,Quarter 3
2003-08-13,8,3,2003,Aug,August,QTR3,Quarter 3
2003-08-25,8,3,2003,Aug,August,QTR3,Quarter 3
2003-09-03,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-05,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-11,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-12,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-19,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-21,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-25,9,3,2003,Sep,September,QTR3,Quarter 3
2003-09-28,9,3,2003,Sep,September,QTR3,Quarter 3
2003-10-02,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-04,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-05,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-06,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-08,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-09,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-10,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-11,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-17,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-18,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-20,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-21,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-22,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-23,10,4,2003,Oct,October,QTR4,Quarter 4
2003-10-28,10,4,2003,Oct,October,QTR4,Quarter 4
2003-11-04,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-05,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-06,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-07,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-08,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-11,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-12,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-13,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-14,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-15,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-18,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-19,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-20,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-21,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-25,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-26,11,4,2003,Nov,November,QTR4,Quarter 4
2003-11-27,11,4,2003,Nov,November,QTR4,Quarter 4
2003-12-01,12,4,2003,Dec,December,QTR4,Quarter 4
2003-12-02,12,4,2003,Dec,December,QTR4,Quarter 4
2003-12-03,12,4,2003,Dec,December,QTR4,Quarter 4
2003-12-05,12,4,2003,Dec,December,QTR4,Quarter 4
2003-12-09,12,4,2003,Dec,December,QTR4,Quarter 4
2004-01-02,1,1,2004,Jan,January,QTR1,Quarter 1
